component,installed_capex_usd,annualized_capex_usd,fixed_opex_usd_per_year,replacement_reserve_usd_per_year,annual_cost_usd,lcof_usd_per_kg
solar,5304783748.774938,496945664.71995854,78940234.3567699,0.0,575885899.0767283,5.758858990767283
electrolyzer,2802247414.3377357,262511116.3766937,84067422.43013206,0.0,346578538.8068258,3.4657853880682583
dac,1425751697.4348714,133562678.24696982,57030067.89739486,0.0,190592746.14436468,1.9059274614436468
rwgs,273569119.1451976,25627621.067844503,10942764.765807902,0.0,36570385.83365241,0.3657038583365241
ft,186101441.5953725,17433755.828465648,7444057.6638149,0.0,24877813.49228055,0.2487781349228055
upgrading,46153157.51565238,4323571.44545948,1846126.3006260952,0.0,6169697.746085576,0.061696977460855756
h2_storage,109988634.86972915,10303601.024188954,2199772.697394583,0.0,12503373.721583538,0.12503373721583538
co2_storage,11249727.654566413,1053860.7513469425,224994.55309132824,0.0,1278855.3044382706,0.012788553044382707
battery_power,94349587.89364915,8838554.197933404,1886991.7578729829,0.0,10725545.955806388,0.10725545955806387
battery_energy,1291588868.7670453,120994468.26320948,25831777.375340905,22885501.480041247,169711747.11859164,1.6971174711859163
heater,38529194.43620026,3609367.8926391234,770583.8887240052,0.0,4379951.781363129,0.043799517813631283
water,0.0,0.0,0.0,0.0,1021954.7032257998,0.010219547032257999
stack_replacement_reserve,0.0,0.0,0.0,0.0,46839590.56451582,0.4683959056451582
dac_sorbent,0.0,0.0,0.0,0.0,13820657.56823812,0.1382065756823812
catalyst,0.0,0.0,0.0,0.0,5304500.0,0.053045
battery_throughput,0.0,0.0,0.0,0.0,2309418.308347125,0.02309418308347125
naphtha_revenue,0.0,0.0,0.0,0.0,-17740985.806451615,-0.17740985806451615
diesel_revenue,0.0,0.0,0.0,0.0,-28676667.582251363,-0.28676667582251364
wax_revenue,0.0,0.0,0.0,0.0,-8470088.70967742,-0.0847008870967742
lpg_revenue,0.0,0.0,0.0,0.0,-1260099.177024266,-0.01260099177024266
oxygen_revenue,0.0,0.0,0.0,0.0,-0.0,-0.0
policy_support,0.0,0.0,0.0,0.0,-0.0,-0.0
