component,installed_capex_usd,annualized_capex_usd,fixed_opex_usd_per_year,replacement_reserve_usd_per_year,annual_cost_usd,lcof_usd_per_kg
solar,3521794707.1018443,329917428.2329844,78611488.99780904,0.0,408528917.2307935,4.0852891723079345
electrolyzer,1876736827.6955369,175810414.62038174,56302104.83086611,0.0,232112519.45124784,2.3211251945124785
dac,954993469.3269244,89462622.20914945,38199738.77307698,0.0,127662360.98222642,1.276623609822264
rwgs,184331839.01507476,17267981.619336147,7373273.560602991,0.0,24641255.179939136,0.24641255179939137
ft,125395808.85379232,11746926.271657238,5015832.354151693,0.0,16762758.625808932,0.16762758625808932
upgrading,31098160.5957405,2913237.7153709955,1243926.42382962,0.0,4157164.139200615,0.04157164139200615
h2_storage,73192166.20766935,6856552.766503184,1463843.3241533868,0.0,8320396.090656571,0.0832039609065657
co2_storage,8735647.819744717,818344.8219816724,174712.95639489437,0.0,993057.7783765667,0.009930577783765666
battery_power,62041804.52963585,5812000.498517151,1240836.0905927168,0.0,7052836.589109868,0.07052836589109868
battery_energy,857164586.2355459,80298131.88513137,17143291.72471092,15187992.000626823,112629415.61046912,1.126294156104691
heater,25843152.549340773,2420954.977676001,516863.0509868155,0.0,2937818.028662816,0.029378180286628162
water,0.0,0.0,0.0,0.0,1021954.7032258003,0.010219547032258003
stack_replacement_reserve,0.0,0.0,0.0,0.0,46839590.56451585,0.46839590564515854
dac_sorbent,0.0,0.0,0.0,0.0,13820657.56823813,0.1382065756823813
catalyst,0.0,0.0,0.0,0.0,5304500.0,0.053045
battery_throughput,0.0,0.0,0.0,0.0,2276121.2379994346,0.022761212379994344
naphtha_revenue,0.0,0.0,0.0,0.0,-17740985.806451615,-0.17740985806451615
diesel_revenue,0.0,0.0,0.0,0.0,-28676667.582251363,-0.28676667582251364
wax_revenue,0.0,0.0,0.0,0.0,-8470088.70967742,-0.0847008870967742
lpg_revenue,0.0,0.0,0.0,0.0,-1260099.177024266,-0.01260099177024266
oxygen_revenue,0.0,0.0,0.0,0.0,-0.0,-0.0
policy_support,0.0,0.0,0.0,0.0,-0.0,-0.0
