component,installed_capex_usd,annualized_capex_usd,fixed_opex_usd_per_year,replacement_reserve_usd_per_year,annual_cost_usd,lcof_usd_per_kg
solar,4411291763.453484,413244426.4423257,78773067.2045265,0.0,492017493.6468522,4.920174936468522
electrolyzer,2341761638.9188895,219373371.1646574,70252849.16756669,0.0,289626220.3322241,2.8962622033222405
dac,1192141059.7266765,111678318.93291444,47685642.389067054,0.0,159363961.3219815,1.593639613219815
rwgs,228139360.2246421,21371816.71954161,9125574.408985684,0.0,30497391.12852729,0.3049739112852729
ft,155196843.69023275,14538650.829620145,6207873.747609311,0.0,20746524.577229455,0.20746524577229455
upgrading,38488817.235177726,3605585.4057457964,1539552.689407109,0.0,5145138.095152905,0.051451380951529055
h2_storage,92114582.09698087,8629181.583727447,1842291.6419396175,0.0,10471473.225667065,0.10471473225667065
co2_storage,9857557.621027231,923443.9623722545,197151.15242054462,0.0,1120595.114792799,0.011205951147927991
battery_power,77801067.63445625,7288309.024935454,1556021.3526891249,0.0,8844330.377624579,0.08844330377624579
battery_energy,1073510493.9025636,100565152.36826742,21470209.87805127,19021398.055636276,141056760.30195498,1.4105676030195498
heater,32196381.328471713,3016117.6927428134,643927.6265694343,0.0,3660045.3193122474,0.036600453193122474
water,0.0,0.0,0.0,0.0,1021954.703225799,0.01021954703225799
stack_replacement_reserve,0.0,0.0,0.0,0.0,46839590.56451579,0.46839590564515793
dac_sorbent,0.0,0.0,0.0,0.0,13820657.568238107,0.13820657568238107
catalyst,0.0,0.0,0.0,0.0,5304500.0,0.053045
battery_throughput,0.0,0.0,0.0,0.0,2292616.3458948852,0.022926163458948854
naphtha_revenue,0.0,0.0,0.0,0.0,-17740985.806451615,-0.17740985806451615
diesel_revenue,0.0,0.0,0.0,0.0,-28676667.582251363,-0.28676667582251364
wax_revenue,0.0,0.0,0.0,0.0,-8470088.70967742,-0.0847008870967742
lpg_revenue,0.0,0.0,0.0,0.0,-1260099.177024266,-0.01260099177024266
oxygen_revenue,0.0,0.0,0.0,0.0,-0.0,-0.0
policy_support,0.0,0.0,0.0,0.0,-0.0,-0.0
