component,installed_capex_usd,annualized_capex_usd,fixed_opex_usd_per_year,replacement_reserve_usd_per_year,annual_cost_usd,lcof_usd_per_kg
solar,4484147764.765047,420069487.69180155,80074067.22794728,0.0,500143554.9197488,5.001435549197488
electrolyzer,2335821999.8713765,218816953.03067696,70074659.99614128,0.0,288891613.0268182,2.888916130268182
dac,2292692715.2805457,214776654.30882308,91707708.61122184,0.0,306484362.9200449,3.064843629200449
rwgs,224170956.47785583,21000061.501757417,8966838.259114234,0.0,29966899.76087165,0.2996689976087165
ft,152497249.30466384,14285756.123644501,6099889.972186553,0.0,20385646.095831055,0.20385646095831056
upgrading,37819317.82755662,3542867.518663835,1512772.7131022646,0.0,5055640.231766099,0.05055640231766099
h2_storage,93309158.20577887,8741088.015084296,1866183.1641155775,0.0,10607271.179199873,0.10607271179199873
co2_storage,16823579.551799975,1576012.3916962787,336471.59103599953,0.0,1912483.982732278,0.01912483982732278
battery_power,82700595.31961769,7747290.796412694,1654011.9063923538,0.0,9401302.702805048,0.09401302702805048
battery_energy,1081872258.8827553,101348472.30233128,21637445.17765511,19169559.122565113,142155476.60255152,1.4215547660255152
heater,31116248.858318795,2914932.2017245013,622324.9771663758,0.0,3537257.1788908774,0.03537257178890878
water,0.0,0.0,0.0,0.0,1021954.7032258005,0.010219547032258006
stack_replacement_reserve,0.0,0.0,0.0,0.0,46839590.56451586,0.4683959056451586
dac_sorbent,0.0,0.0,0.0,0.0,13820657.568238132,0.13820657568238132
catalyst,0.0,0.0,0.0,0.0,5304500.0,0.053045
battery_throughput,0.0,0.0,0.0,0.0,2352291.237811112,0.02352291237811112
naphtha_revenue,0.0,0.0,0.0,0.0,-17740985.806451615,-0.17740985806451615
diesel_revenue,0.0,0.0,0.0,0.0,-28676667.582251363,-0.28676667582251364
wax_revenue,0.0,0.0,0.0,0.0,-8470088.70967742,-0.0847008870967742
lpg_revenue,0.0,0.0,0.0,0.0,-1260099.177024266,-0.01260099177024266
oxygen_revenue,0.0,0.0,0.0,0.0,-0.0,-0.0
policy_support,0.0,0.0,0.0,0.0,-0.0,-0.0
