component,installed_capex_usd,annualized_capex_usd,fixed_opex_usd_per_year,replacement_reserve_usd_per_year,annual_cost_usd,lcof_usd_per_kg
solar,4326636203.401982,405313996.9367405,77261360.77503541,0.0,482575357.7117759,4.825753577117759
electrolyzer,2424942248.0202274,227165629.06606975,72748267.44060682,0.0,299913896.50667655,2.9991389650667655
dac,1068501587.6849781,100095924.14941819,42740063.50739913,0.0,142835987.65681732,1.428359876568173
rwgs,235080349.96991774,22022040.164291263,9403213.99879671,0.0,31425254.163087975,0.31425254163087973
ft,159918605.42171273,14980979.703599496,6396744.21686851,0.0,21377723.920468006,0.21377723920468006
upgrading,39659814.14458475,3715282.9664926743,1586392.5657833898,0.0,5301675.532276064,0.05301675532276064
h2_storage,93334328.13509265,8743445.903331235,1866686.562701853,0.0,10610132.466033086,0.10610132466033086
co2_storage,74086257.43494833,6940310.141035753,1481725.1486989665,0.0,8422035.289734721,0.08422035289734721
battery_power,36231264.06977621,3394100.5815660763,724625.2813955242,0.0,4118725.8629616005,0.041187258629616
battery_energy,412865313.9472211,38676718.52348317,8257306.278944422,7315508.813897192,54249533.61632479,0.5424953361632479
heater,52034216.65696618,4874501.885350173,1040684.3331393236,0.0,5915186.218489498,0.05915186218489498
water,0.0,0.0,0.0,0.0,1021954.7032258005,0.010219547032258006
stack_replacement_reserve,0.0,0.0,0.0,0.0,46839590.56451586,0.4683959056451586
dac_sorbent,0.0,0.0,0.0,0.0,13820657.56823813,0.1382065756823813
catalyst,0.0,0.0,0.0,0.0,5304500.0,0.053045
battery_throughput,0.0,0.0,0.0,0.0,898458.0118379653,0.008984580118379654
naphtha_revenue,0.0,0.0,0.0,0.0,-17740985.806451615,-0.17740985806451615
diesel_revenue,0.0,0.0,0.0,0.0,-28676667.582251363,-0.28676667582251364
wax_revenue,0.0,0.0,0.0,0.0,-8470088.70967742,-0.0847008870967742
lpg_revenue,0.0,0.0,0.0,0.0,-1260099.177024266,-0.01260099177024266
oxygen_revenue,0.0,0.0,0.0,0.0,-0.0,-0.0
policy_support,0.0,0.0,0.0,0.0,-0.0,-0.0
