component,installed_capex_usd,annualized_capex_usd,fixed_opex_usd_per_year,replacement_reserve_usd_per_year,annual_cost_usd,lcof_usd_per_kg
solar,4129712856.9897046,386866458.27801055,73744872.44624473,0.0,460611330.72425526,4.606113307242553
electrolyzer,2336800507.884509,218908618.4666398,70104015.23653527,0.0,289012633.70317507,2.8901263370317505
dac,1190806770.0002263,111553324.30043902,47632270.80000906,0.0,159185595.10044804,1.5918559510044805
rwgs,226463024.904583,21214779.673476785,9058520.99618332,0.0,30273300.669660106,0.3027330066966011
ft,154056479.5269272,14431822.907127062,6162259.181077088,0.0,20594082.08820415,0.2059408208820415
upgrading,38206006.92267794,3579092.080967511,1528240.2769071176,0.0,5107332.357874628,0.051073323578746284
h2_storage,92422088.56489022,8657988.414191779,1848441.7712978045,0.0,10506430.185489584,0.10506430185489583
co2_storage,8494525.820156578,795756.8074576864,169890.5164031316,0.0,965647.323860818,0.00965647323860818
battery_power,68064548.62210402,6376203.811642023,1361290.9724420805,0.0,7737494.784084104,0.07737494784084104
battery_energy,896191789.2929416,83954152.61736143,17923835.78585883,15879510.12603813,117757498.5292584,1.177574985292584
heater,24460494.59253185,2291429.268435652,489209.891850637,0.0,2780639.160286289,0.02780639160286289
water,0.0,0.0,0.0,0.0,1021954.7032257987,0.010219547032257987
stack_replacement_reserve,0.0,0.0,0.0,0.0,46839590.56451577,0.4683959056451577
dac_sorbent,0.0,0.0,0.0,0.0,13820657.568238102,0.138206575682381
catalyst,0.0,0.0,0.0,0.0,5304500.0,0.053045
battery_throughput,0.0,0.0,0.0,0.0,1911480.4418278537,0.019114804418278536
naphtha_revenue,0.0,0.0,0.0,0.0,-17740985.806451615,-0.17740985806451615
diesel_revenue,0.0,0.0,0.0,0.0,-28676667.582251363,-0.28676667582251364
wax_revenue,0.0,0.0,0.0,0.0,-8470088.70967742,-0.0847008870967742
lpg_revenue,0.0,0.0,0.0,0.0,-1260099.177024266,-0.01260099177024266
oxygen_revenue,0.0,0.0,0.0,0.0,-0.0,-0.0
policy_support,0.0,0.0,0.0,0.0,-0.0,-0.0
